Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,250
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.97468e-03,0,0
-1.97464e-03,0,0
-1.97460e-03,0,0
-1.97456e-03,0,0
-1.97452e-03,0,0
-1.97448e-03,0,0
-1.97444e-03,0,0
-1.97440e-03,0,0
-1.97436e-03,0,0
-1.97432e-03,0,0
-1.97428e-03,0,-0.8
-1.97424e-03,0,-0.8
-1.97420e-03,0,0
-1.97416e-03,0,0
-1.97412e-03,0,0
-1.97408e-03,0,0
-1.97404e-03,0,0
-1.97400e-03,0,0
-1.97396e-03,0,0
-1.97392e-03,0,0
-1.97388e-03,0,0
-1.97384e-03,0,-0.8
-1.97380e-03,0,0
-1.97376e-03,0,0
-1.97372e-03,0,0
-1.97368e-03,0,0
-1.97364e-03,0,0
-1.97360e-03,0,0
-1.97356e-03,0,-0.8
-1.97352e-03,0,0
-1.97348e-03,0,0
-1.97344e-03,0,-0.8
-1.97340e-03,0,0
-1.97336e-03,0,0
-1.97332e-03,0,0
-1.97328e-03,0,0
-1.97324e-03,0,0
-1.97320e-03,0,0
-1.97316e-03,0,0
-1.97312e-03,0,0
-1.97308e-03,0,0
-1.97304e-03,0,0
-1.97300e-03,0,-0.8
-1.97296e-03,0,0
-1.97292e-03,0,-0.8
-1.97288e-03,0,0
-1.97284e-03,0,0
-1.97280e-03,0,0
-1.97276e-03,0,0
-1.97272e-03,0,0
-1.97268e-03,0.04,0
-1.97264e-03,0,-0.8
-1.97260e-03,0,0
-1.97256e-03,0,-0.8
-1.97252e-03,0,0
-1.97248e-03,0,0
-1.97244e-03,0,0
-1.97240e-03,0,0
-1.97236e-03,0,0
-1.97232e-03,0,0
-1.97228e-03,0,0
-1.97224e-03,0,0
-1.97220e-03,0,-0.8
-1.97216e-03,0,0
-1.97212e-03,0,0
-1.97208e-03,0,0
-1.97204e-03,0,0
-1.97200e-03,0,0
-1.97196e-03,0,0
-1.97192e-03,0,0
-1.97188e-03,0,0
-1.97184e-03,0,0
-1.97180e-03,0,0
-1.97176e-03,0,0
-1.97172e-03,0,0
-1.97168e-03,0,0
-1.97164e-03,0,0
-1.97160e-03,0,0
-1.97156e-03,0,0
-1.97152e-03,0,0
-1.97148e-03,0,0
-1.97144e-03,0,0
-1.97140e-03,0,-0.8
-1.97136e-03,0,0
-1.97132e-03,0.04,0
-1.97128e-03,0,-0.8
-1.97124e-03,0,0
-1.97120e-03,0,0
-1.97116e-03,0,0
-1.97112e-03,0,0
-1.97108e-03,0,0
-1.97104e-03,-0.04,0
-1.97100e-03,0,0
-1.97096e-03,0,0
-1.97092e-03,0,0
-1.97088e-03,0,0
-1.97084e-03,0,0
-1.97080e-03,0,0
-1.97076e-03,0,0
-1.97072e-03,0,0
-1.97068e-03,0,0
-1.97064e-03,0,0
-1.97060e-03,0,0
-1.97056e-03,0,0
-1.97052e-03,0,0
-1.97048e-03,0,0
-1.97044e-03,0,0
-1.97040e-03,0,0
-1.97036e-03,0,0
-1.97032e-03,0,0
-1.97028e-03,0,0
-1.97024e-03,0,0
-1.97020e-03,0,0
-1.97016e-03,0,0
-1.97012e-03,0,0
-1.97008e-03,0,0
-1.97004e-03,0,0
-1.97000e-03,0,0
-1.96996e-03,0,0
-1.96992e-03,0,0
-1.96988e-03,0,0
-1.96984e-03,0,0
-1.96980e-03,0,0
-1.96976e-03,0,0
-1.96972e-03,0,0
-1.96968e-03,0,0
-1.96964e-03,0,0
-1.96960e-03,0,0
-1.96956e-03,0,0
-1.96952e-03,0,0
-1.96948e-03,0,0
-1.96944e-03,0,0
-1.96940e-03,0,0
-1.96936e-03,0,-0.8
-1.96932e-03,0,0
-1.96928e-03,0,0
-1.96924e-03,0,0
-1.96920e-03,0,0
-1.96916e-03,0,0
-1.96912e-03,0,0
-1.96908e-03,0,0
-1.96904e-03,0,0
-1.96900e-03,0,0
-1.96896e-03,0,0
-1.96892e-03,0,0
-1.96888e-03,0,0
-1.96884e-03,0,0
-1.96880e-03,0,0
-1.96876e-03,0,0
-1.96872e-03,0,0
-1.96868e-03,0,0
-1.96864e-03,0,0
-1.96860e-03,0,0
-1.96856e-03,0,0
-1.96852e-03,0,0
-1.96848e-03,0,-0.8
-1.96844e-03,0,0
-1.96840e-03,0,0
-1.96836e-03,0,0
-1.96832e-03,0,0
-1.96828e-03,0,0
-1.96824e-03,0,0
-1.96820e-03,0,0
-1.96816e-03,0,0
-1.96812e-03,0,0
-1.96808e-03,0,0
-1.96804e-03,0.04,0
-1.96800e-03,0,0
-1.96796e-03,0,0
-1.96792e-03,0,0
-1.96788e-03,0,0
-1.96784e-03,0,0
-1.96780e-03,0,0
-1.96776e-03,0,0
-1.96772e-03,0,0
